,Coefficient
AdultWeekday,10.726729900740605
clusters,2.8229521606237804
summit_elev,2.7244426896107776
daysOpenLastYear,2.018093932126869
vertical_drop,1.8601383641024645
averageSnowfall,1.7335559600325543
Snow Making_ac,1.7275560092713107
triple,1.0578477526574712
surface,0.9424470804084186
projectedDaysOpen,0.8610436250085051
double,0.6735743304547018
quad,0.5590694388982117
total_chairs,0.4852106513421928
LongestRun_mi,0.43464371725244416
TerrainParks,0.3912270719777355
Runs,0.287027701163402
SkiableTerrain_ac,0.10580731612561654
NightSkiing_ac,0.07245245690348452
yearsOpen,0.054528337037751284
fastQuads,0.02712941545707695
